,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
40,4707761,8001356199266,Bộ Vệ Sinh 3 In 1 JJC CL-3D - Hàng Nhập Khẩu,bo-ve-sinh-3-in-1-jjc-cl-3d-hang-nhap-khau-p4707761,bo-ve-sinh-3-in-1-jjc-cl-3d-hang-nhap-khau-p4707761.html?spid=55088681,,,, JJC,,159000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}]",0,0,4.5,30,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/25/12/48/dd94f23ac6e31602f8b51de6ffd6c89d.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,55088681,,,False,"{'text': 'Đã bán 114', 'value': 114}",,159000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-6XsAjgFc', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 4707761, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 1, 'price': 159000, 'quantity_sold': 114, 'rating': 4.5, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 55088681, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,127649,"{'amplitude': {'all_time_quantity_sold': 114, 'brand_name': ' JJC', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '5706342885514', 'number_of_reviews': 30, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 159000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4.5, 'search_rank': 0, 'seller_id': 127649, 'seller_product_id': 55088681, 'seller_product_sku': '8001356199266', 'seller_type': 'TRUSTED_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
41,54818426,3642181015434,Bộ Vệ Sinh Máy Ảnh VSGO Travel Edition,bo-ve-sinh-may-anh-vsgo-travel-edition-p54818426,bo-ve-sinh-may-anh-vsgo-travel-edition-p54818426.html?spid=74306952,,,,OEM,,399999,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,4.7,40,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ed/99/c5/0059a141b38eb6a318e94d1e01f18b8b.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,74306952,,,False,"{'text': 'Đã bán 127', 'value': 127}",,399999,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-eFePVqy3', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 54818426, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 2, 'price': 399999, 'quantity_sold': 127, 'rating': 4.7, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 74306952, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,109906,"{'amplitude': {'all_time_quantity_sold': 127, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 1.799, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9437144620336', 'number_of_reviews': 40, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 399999, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 109906, 'seller_product_id': 74306952, 'seller_product_sku': '3642181015434', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
42,2566051,1959734164139,Bộ Vệ Sinh Máy Ảnh 3 In 1 - Hàng Nhập Khẩu,bo-ve-sinh-may-anh-3-in-1-hang-nhap-khau-p2566051,bo-ve-sinh-may-anh-3-in-1-hang-nhap-khau-p2566051.html?spid=55088157,,,,OEM,,58000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}]",0,0,4.7,56,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e7/6a/39/2aad05396ddb92b5799a305a0d00e7cb.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,55088157,,,False,"{'text': 'Đã bán 310', 'value': 310}",,58000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-HlIAslqP', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 2566051, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 3, 'price': 58000, 'quantity_sold': 310, 'rating': 4.7, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 55088157, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,127649,"{'amplitude': {'all_time_quantity_sold': 310, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '5373901473705', 'number_of_reviews': 56, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 58000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 127649, 'seller_product_id': 55088157, 'seller_product_sku': '1959734164139', 'seller_type': 'TRUSTED_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
43,8819557,9259499972812,Bóng thổi bụi cho máy ảnh,bong-thoi-bui-cho-may-anh-p8819557,bong-thoi-bui-cho-may-anh-p8819557.html?spid=55088530,,,,OEM,,79000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}]",0,0,4.8,24,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/16/b2/d7/8681b57d2944767024d09c9b87e2d282.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,55088530,,,False,"{'text': 'Đã bán 76', 'value': 76}",,79000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-Wd1S5eWU', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 8819557, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 4, 'price': 79000, 'quantity_sold': 76, 'rating': 4.8, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 55088530, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,127649,"{'amplitude': {'all_time_quantity_sold': 76, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '4784209735111', 'number_of_reviews': 24, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 79000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4.8, 'search_rank': 0, 'seller_id': 127649, 'seller_product_id': 55088530, 'seller_product_sku': '9259499972812', 'seller_type': 'TRUSTED_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
44,192678522,9538754464537,Khăn lau đa năng dùng cho lau màn hình điện thoại / máy tính bảng / máy tính laptop / ống kính lens máy ảnh / khăn lau kính mắt - Handtown - Hàng Chính Hãng,khan-lau-da-nang-dung-cho-lau-man-hinh-dien-thoai-may-tinh-bang-may-tinh-laptop-ong-kinh-lens-may-anh-khan-lau-kinh-mat-p192678522,khan-lau-da-nang-dung-cho-lau-man-hinh-dien-thoai-may-tinh-bang-may-tinh-laptop-ong-kinh-lens-may-anh-khan-lau-kinh-mat-p192678522.html?spid=192678524,,,,Handtown,,89000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/16/c4/3c/407c81289a91d2e963de4962cd32c73d.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,192678524,,,False,"{'text': 'Đã bán 8', 'value': 8}",,89000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-oe71Hxhi', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 192678522, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 5, 'price': 89000, 'quantity_sold': 8, 'rating': 0, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 192678524, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,5684,"{'amplitude': {'all_time_quantity_sold': 8, 'brand_name': 'Handtown', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6395167323882', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 89000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 0, 'search_rank': 0, 'seller_id': 5684, 'seller_product_id': 192678524, 'seller_product_sku': '9538754464537', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.049, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
45,125687469,6048998069830,"Bộ vệ sinh Lens ống kính Máy Ảnh, Dụng cụ vệ sinh Máy Quay DSLR Cao cấp 9 món có Túi lưới đựng BVSMA",bo-ve-sinh-lens-ong-kinh-may-anh-dung-cu-ve-sinh-may-quay-dslr-cao-cap-9-mon-co-tui-luoi-dung-bvsma-p125687469,bo-ve-sinh-lens-ong-kinh-may-anh-dung-cu-ve-sinh-may-quay-dslr-cao-cap-9-mon-co-tui-luoi-dung-bvsma-p125687469.html?spid=202007090,,,,OEM,,135000,0,[],"[{'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/e9/14/26/52318ad1543ad9d3ee5b633b3df0750d.png', 'icon_height': 8, 'icon_width': 34, 'placement': 'under_price', 'text': 'Hoàn 39 ASA', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/72/1a/20dbe243806c5068a003f6a42c2528e1.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,202007090,,,False,"{'text': 'Đã bán 16', 'value': 16}",,135000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-tMvkyZ6Q', 'metadata': {'astra_reward': 39, 'astra_reward_text': 'Hoàn 39 ASA', 'category': 20260, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 1, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 125687469, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 6, 'price': 135000, 'quantity_sold': 16, 'rating': 4, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 202007090, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,265259,"{'amplitude': {'all_time_quantity_sold': 16, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 1.799, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '5252228603460', 'number_of_reviews': 1, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 135000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4, 'search_rank': 0, 'seller_id': 265259, 'seller_product_id': 202007090, 'seller_product_sku': '6048998069830', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
46,15267069,3958766296227,Bóng thổi bụi máy ảnh,bong-thoi-bui-may-anh-p15267069,bong-thoi-bui-may-anh-p15267069.html?spid=115270447,,,,OEM,,89000,0,[],"[{'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ea/46/15/b56fa86030dd9249008cee41ba77e053.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,115270447,,,False,"{'text': 'Đã bán 7', 'value': 7}",,89000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-dxiPQqmN', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 15267069, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 7, 'price': 89000, 'quantity_sold': 7, 'rating': 5, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 115270447, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,147505,"{'amplitude': {'all_time_quantity_sold': 7, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 1.799, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1210372381792', 'number_of_reviews': 1, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 89000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 5, 'search_rank': 0, 'seller_id': 147505, 'seller_product_id': 115270447, 'seller_product_sku': '3958766296227', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
47,68454398,1593487053618,"Bóng thổi VSGO D-10318, Vệ sinh máy ảnh, ống kính, Hàng nhập khẩu",bong-thoi-vsgo-d-10318-ve-sinh-may-anh-ong-kinh-hang-nhap-khau-p68454398,bong-thoi-vsgo-d-10318-ve-sinh-may-anh-ong-kinh-hang-nhap-khau-p68454398.html?spid=68454402,,,,VSGO,,129999,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,4.6,11,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c8/37/09/b16ea2eb8ea855ffec0e8bd3a885ad7c.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,68454402,,,False,"{'text': 'Đã bán 34', 'value': 34}",,129999,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-72LwOVJx', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 68454398, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 8, 'price': 129999, 'quantity_sold': 34, 'rating': 4.6, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 68454402, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,109906,"{'amplitude': {'all_time_quantity_sold': 34, 'brand_name': 'VSGO', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3292439162672', 'number_of_reviews': 11, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 129999, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4.6, 'search_rank': 0, 'seller_id': 109906, 'seller_product_id': 68454402, 'seller_product_sku': '1593487053618', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.049, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
48,208306423,3702876606341,"Khăn da cừu vệ sinh lens, lau ống kính máy ảnh, điện thoại (da cừu thật 100%)",khan-da-cuu-ve-sinh-lens-lau-ong-kinh-may-anh-dien-thoai-da-cuu-that-100-p208306423,khan-da-cuu-ve-sinh-lens-lau-ong-kinh-may-anh-dien-thoai-da-cuu-that-100-p208306423.html?spid=208306424,,,,OEM,,20000,0,[],"[{'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a6/c3/49/cef7e06c234e1628c848635d8e67f3b8.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,208306424,,,False,"{'text': 'Đã bán 26', 'value': 26}",,20000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-S7iQ5aqy', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 208306423, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 9, 'price': 20000, 'quantity_sold': 26, 'rating': 0, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 208306424, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,33478,"{'amplitude': {'all_time_quantity_sold': 26, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 1.799, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '4442484315579', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 20000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 0, 'search_rank': 0, 'seller_id': 33478, 'seller_product_id': 208306424, 'seller_product_sku': '3702876606341', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
49,12321426,7164951648476,khăn da cừu lau ống kính máy ảnh,khan-da-cuu-lau-ong-kinh-may-anh-p12321426,khan-da-cuu-lau-ong-kinh-may-anh-p12321426.html?spid=55088542,,,,OEM,,45000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}]",0,0,4.7,59,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6d/7f/e0/cb57a4bdd232e4832e5dac34c21fe06b.jpg,280,280,[],False,,False,3113,,,False,False,,,[],,,55088542,,,False,"{'text': 'Đã bán 437', 'value': 437}",,45000,True,"[{'impression_id': 'thanos-FHOAwfkITorRwcXe-raRBv5Td', 'metadata': {'astra_reward': 0, 'category': 20260, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 12321426, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '20260', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'dung-cu-ve-sinh-may-anh'}, 'position': 10, 'price': 45000, 'quantity_sold': 437, 'rating': 4.7, 'request_id': 'FHOAwfkITorRwcXe', 'spid': 55088542, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1801/1818/20260,0,127649,"{'amplitude': {'all_time_quantity_sold': 437, 'brand_name': 'OEM', 'category_l1_name': 'Máy Ảnh - Máy Quay Phim', 'category_l2_name': 'Phụ Kiện Máy Ảnh, Máy Quay', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '4729364853188', 'number_of_reviews': 59, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 45000, 'primary_category_name': 'Dụng Cụ Vệ Sinh Máy Ảnh', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 127649, 'seller_product_id': 55088542, 'seller_product_sku': '7164951648476', 'seller_type': 'TRUSTED_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
